Station;Date Releve;Heure;Num Releve;Conductivite;Salinite;Comm Salinite;Temperature;Ph;Redox;Oxygene;Saturation;Niveau Ngf;Comm Ngf;Niveau Relatif;Niveau 0;Turbidite;Couleur;Macrophyte;Remarques
Etangs du Grand Bagnas - EID Piezo;27/10/2021;09:48;;32.1;19.6;;13.7;;;;;;;0.87;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - echelleGB2piezo;27/10/2021;10:00;;40.8;25.6;;16.1;;;;;;;1.055;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - TB5 centre;27/10/2021;10:20;;44.1;27.7;;10.8;8.71;;2.88;25.9;-0.13;;;;40;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - TB5 centre piezo;27/10/2021;10:20;;60.2;39.6;;14.4;;;;;;;0.99;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Petit Pont;27/10/2021;10:50;;34.2;21.1;;13.9;8;;6.95;66.6;0.15;;;;300;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - LONGE;27/10/2021;11:15;;1.884;0.8;;12.9;7.62;;5.7;53.7;0.36;;;;100;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - MareB5roseau;27/10/2021;11:28;;2.23;1.1;;11.7;8.04;;9.84;89.7;;;0.08;;75;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - MareB5roseau piezo;27/10/2021;11:28;;49.2;31.6;;15.1;;;;;;;1.04;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Pioch couguioul;27/10/2021;12:01;;13.28;7.5;;13.2;8.107;;5.44;51.4;0.34;;;;10;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Pairollet Piezo;27/10/2021;12:12;;41.7;26.3;;18.4;;;;;;;0.99;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - PB3 Piezo;27/10/2021;12:33;;149;;OFL;18.6;;;;;;;1.03;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Rieu nord;27/10/2021;12:37;;87.4;61.9;;18.9;8.25;;14.28;152;0.13;;;;10;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Rieu nord piezo;27/10/2021;12:37;;116.3;;OFL;17.5;;;;;;;1.1;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - PB4 piezo;27/10/2021;12:55;;130.7;;OFL;19.1;;;;;;;1.43;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Mare pelo - 3;27/10/2021;13:20;;2.84;1.4;;13.3;7.99;;17.96;171;0.29;;;;0;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Mare pelo - 3 piezo;27/10/2021;13:20;;2.66;1.3;;15.5;;;;;;;1.13;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Mare aux pelobates;27/10/2021;13:28;;66.1;44.3;;16.7;7.99;;10.07;102.6;0.05;;;;0;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - Mare pelo Piezo;27/10/2021;13:28;;37.7;23.7;;17.8;;;;;;;0.94;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2
Etangs du Grand Bagnas - echelleGB2;27/10/2021;;;;;;;;;;;;;;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2_a sec
Etangs du Grand Bagnas - Scirpaie GB8;27/10/2021;11:47;;;;;;;;;;;;;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2_a sec
Etangs du Grand Bagnas - Scirpaie GB8 piezo;27/10/2021;;;;;;;;;;;;;;0;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2_a sec
Etangs du Grand Bagnas - Pairollet;27/10/2021;12:12;;;;;;;;;;;;;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2_a sec
Etangs du Grand Bagnas - PB3;27/10/2021;12:33;;;;;;;;;;;;;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2_a sec
Etangs du Grand Bagnas - PB4;27/10/2021;12:55;;;;;;;;;;;;;;;;;vent faible de nord-ouest_premiere utilisation e la nouvelle sonde O2_a sec
Etangs du Grand Bagnas - Canal de l'ouest;13/10/2021;10:41;;1.932;0.8;;15;7.81;;;;;;1.05;;500;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - canal du midi martelliere;13/10/2021;09:10;;1.735;0.7;;15.9;7.79;;;;;;-0.18;;30;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - EID;13/10/2021;09:44;;5.94;3.1;;11.4;7.84;;;;;;0.08;;10;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - EID Piezo;13/10/2021;09:44;;32.4;19.8;;14.8;;;;;;;0.82;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2piezo;13/10/2021;10:03;;43.2;27.4;;16.9;;;;;;;1;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre;13/10/2021;10:14;;41.3;25.8;;11.5;9.2;;;;-0.1;;;;40;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre piezo;13/10/2021;10:14;;59.4;39.1;;15.3;;;;;;;0.96;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - LONGE;13/10/2021;10:59;;1.565;0.6;;14.4;7.86;;;;0.4;;;;200;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau;13/10/2021;11:15;;1.878;0.8;;15.7;8.32;;;;;;0.11;;75;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau piezo;13/10/2021;11:15;;46.7;29.9;;16.4;;;;;;;0.99;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Pioch couguioul;13/10/2021;11:54;;13.21;7.5;;16;8.29;;;;0.38;;;;20;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Pairollet Piezo;13/10/2021;12:05;;40.7;25.8;;19.8;;;;;;;0.97;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - PB3 Piezo;13/10/2021;13:19;;146.7;;OFL;19.5;;;;;;;0.94;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord;13/10/2021;12:12;;91.2;64.8;;17.6;8.14;;;;0.12;;;;75;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord piezo;13/10/2021;12:12;;114.2;;OFL;18.1;;;;;;;1.11;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - PB4 piezo;13/10/2021;13:19;;127.8;;OFL;21;;;;;;;1.37;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3;13/10/2021;13:50;;2.53;1.2;;17.2;8.48;;;;0.29;;;;5;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3 piezo;13/10/2021;13:50;;2.5;1.1;;17.7;;;;;;;1.14;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Mare aux pelobates;13/10/2021;14:05;;69.6;47.2;;18.7;8.42;;;;0.04;;;;20;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo Piezo;13/10/2021;14:05;;36.1;22.6;;18.7;;;;;;;0.945;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2;13/10/2021;10:03;;;;;;;;;;;;;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Scirpaie GB8;13/10/2021;11:34;;;;;;;;;;;;;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Scirpaie GB8 piezo;13/10/2021;11:34;;;;;;;;;;;;;0;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Pairollet;13/10/2021;12:05;;;;;;;;;;;;;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - PB3;13/10/2021;13:19;;;;;;;;;;;;;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - PB4;13/10/2021;13:19;;;;;;;;;;;;;;;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Petit Pont;13/10/2021;10:41;;37.2;23.2;;16.5;8.14;;;;;;;;300;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS_echelle limnimetrique sous sediments
Etangs du Grand Bagnas - Canal de l'ouest;29/09/2021;11:19;;3.52;1.7;;20.1;7.7;;;;;;1.05;;100;;;vent faible devenant modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - canal du midi martelliere;07/09/2021;09:15;;2.61;1.2;;25.3;7.81;;;;;;-0.22;;30;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - EID Piezo;07/09/2021;10:15;;35.3;22.2;;21;;;;;;;1.05;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2piezo;07/09/2021;10:42;;42.9;27.4;;23.1;;;;;;;0.83;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre;07/09/2021;10:44;;38.4;24.4;;24.5;8.37;;;;-0.05;;;;20;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre piezo;07/09/2021;10:44;;58.7;39.3;;24.3;;;;;;;0.86;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Petit Pont;07/09/2021;11:15;;28.4;17.5;;24.5;7.68;;;;0.215;;;;40;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - LONGE;07/09/2021;11:34;;2.48;1.1;;23.6;7.41;;;;0.3;;;;50;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau;07/09/2021;12:18;;3.08;1.5;;24.5;8.65;;;;;;0.15;;75;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau piezo;07/09/2021;12:18;;44.7;28.8;;23.7;;;;;;;0.89;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Pioch couguioul;07/09/2021;12:43;;3.44;1.7;;24.3;8.23;;;;0.28;;;;20;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Pairollet Piezo;07/09/2021;12:55;;40.5;25.9;;25.3;;;;;;;0.95;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - PB3 Piezo;07/09/2021;13:32;;128;;OFL;25.7;;;;;;;1.24;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord;07/09/2021;13:38;;101.5;;OFL;26.3;8.11;;;;0.16;;;;75;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord piezo;07/09/2021;13:38;;111.4;;OFL;25.1;;;;;;;1.1;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - PB4 piezo;07/09/2021;13:47;;126.6;;OFL;26.1;;;;;;;1.4;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3;07/09/2021;14:22;;3.86;2;;26.7;7.45;;;;0.27;;;;10;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3 piezo;07/09/2021;14:22;;2.38;1.1;;25.1;;;;;;;1.16;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Mare aux pelobates;07/09/2021;14:40;;78.8;55.5;;28.4;8.13;;;;-0.055;;;;10;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo Piezo;07/09/2021;14:40;;36.5;23.1;;27.3;;;;;;;1.04;;;;;vent modéré d'est_Sonde O2 HS
Etangs du Grand Bagnas - Canal de l'ouest;07/09/2021;11:15;;2.79;1.3;;23.6;7.6;;;;;;1.05;;40;;;vent modéré d'est_Sonde O2 HS_2 poissons morts dont 1 anguille
Etangs du Grand Bagnas - EID;07/09/2021;10:15;;;;;;;;;;;;;;;;;vent modéré d'est_Sonde O2 HS_a sec
Etangs du Grand Bagnas - echelleGB2;07/09/2021;10:42;;;;;;;;;;;;;;;;;vent modéré d'est_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Pairollet;07/09/2021;12:55;;;;;;;;;;;;;;;;;vent modéré d'est_Sonde O2 HS_a sec
Etangs du Grand Bagnas - PB3;07/09/2021;13:32;;;;;;;;;;;;;;;;;vent modéré d'est_Sonde O2 HS_a sec
Etangs du Grand Bagnas - PB4;07/09/2021;13:47;;;;;;;;;;;;;;;;;vent modéré d'est_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Scirpaie GB8;07/09/2021;12:27;;;;;;;;;;-0.05;;;;;;;vent modéré d'est_Sonde O2 HS_echelle limnimétrique illisible (valeur de TB5 car corrélation)
Etangs du Grand Bagnas - Scirpaie GB8 piezo;07/09/2021;12:27;;32;19.9;;23.7;;;;;;;1.18;;;;;vent modéré d'est_Sonde O2 HS_fond du piezo
Etangs du Grand Bagnas - canal du midi martelliere;18/08/2021;08:55;;0.964;0.3;;23.2;8.07;;;;;;-0.25;;40;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - EID;18/08/2021;09:24;;6.34;3.4;;18.4;7.66;;;;;;0.05;;75;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - EID Piezo;18/08/2021;09:24;;35.3;22;;19.8;;;;;;;0.83;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2;18/08/2021;09:34;;27.2;16.5;;16.8;8.86;;;;;;;;20;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2piezo;18/08/2021;09:34;;43.6;27.9;;20.7;;;;;;;0.65;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre;18/08/2021;09:48;;20.2;12;;18.5;9.39;;;;0.05;;;;5;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre piezo;18/08/2021;09:48;;58.3;38.7;;20.6;;;;;;;0.765;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Petit Pont;18/08/2021;10:04;;27;16.4;;21.5;7.98;;;;0.03;;;;500;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Canal de l'ouest;18/08/2021;10:04;;2.26;1;;21.4;7.6;;;;;;1.1;;200;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - LONGE;18/08/2021;10:28;;1.649;0.6;;21.1;7.69;;;;0.37;;;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau;18/08/2021;10:41;;4.71;2.5;;20.6;8.78;;;;;;0.21;;200;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau piezo;18/08/2021;10:41;;44.1;28.3;;21.8;;;;;;;0.85;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Scirpaie GB8 piezo;18/08/2021;10:54;;29.6;18.2;;22.2;;;;;;;0.72;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Pioch couguioul;18/08/2021;11:27;;3.06;1.5;;22.7;8.32;;;;0.36;;;;20;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Pairollet Piezo;18/08/2021;11:44;;40;25.5;;24.6;;;;;;;0.86;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - PB3 Piezo;18/08/2021;11:55;;128.4;;OFL;25.6;;;;;;;1.12;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord;18/08/2021;12:08;;127.8;;OFL;25.7;7.91;;;;0.09;;;;300;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord piezo;18/08/2021;12:08;;110.7;;OFL;23;;;;;;;1.09;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - PB4 piezo;18/08/2021;13:23;;123.1;;OFL;27;;;;;;;1.35;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Mare aux pelobates;18/08/2021;13:53;;80.3;56.7;;26.7;8.28;;;;;;;;5;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo Piezo;18/08/2021;13:53;;36.4;22.9;;23.5;;;;;;;1.005;;;;;vent modéré de nord-ouest_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3 piezo;18/08/2021;13:46;;2.44;1.1;;22.7;;;;;;;1.22;;;;;vent modéré de nord-ouest_Sonde O2 HS_2 rainettes dans le piézomètre
Etangs du Grand Bagnas - PB3;18/08/2021;11:55;;;;;;;;;;;;;;;;;vent modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - PB4;18/08/2021;13:23;;;;;;;;;;;;;;;;;vent modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Mare pelo - 3;18/08/2021;13:46;;;;;;;;;;-0.025;;;;;;;vent modéré de nord-ouest_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Pairollet;18/08/2021;11:44;;;;;;;;;;;;;;;;;vent modéré de nord-ouest_Sonde O2 HS_a sec_flaque autour de l'échelle limnimétrique
Etangs du Grand Bagnas - Scirpaie GB8;18/08/2021;10:54;;43.5;27.7;;18.3;7.61;;;;0.05;;;;;;;vent modéré de nord-ouest_Sonde O2 HS_prelevement dans une flaque_echelle limnimétrique illisible (valeur de TB5 car corrélation)
Etangs du Grand Bagnas - canal du midi martelliere;05/08/2021;08:50;;2.01;0.9;;20;7.72;;;;;;-0.2;;20;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - EID;05/08/2021;09:10;;5.43;2.9;;18.5;7.73;;;;;;0.12;;30;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - EID Piezo;05/08/2021;09:10;;35.2;21.9;;19;;;;;;;0.8;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2;05/08/2021;09:35;;16.36;9.6;;18.7;8.51;;;;;;;;30;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2piezo;05/08/2021;09:35;;43.8;28;;20.3;;;;;;;0.59;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre;05/08/2021;09:55;;18.55;10.9;;19;8.74;;;;0.11;;;;5;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre piezo;05/08/2021;09:55;;57.6;38.1;;20;;;;;;;0.7;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Petit Pont;05/08/2021;10:15;;40.5;25.8;;23.1;7.65;;;;0.15;;;;40;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Canal de l'ouest;05/08/2021;10:15;;2.34;1.1;;21.4;7.39;;;;;;1.18;;75;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - LONGE;05/08/2021;10:32;;2.61;1.2;;20.7;7.42;;;;0.45;;;;75;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau;05/08/2021;10:44;;4.92;2.6;;20.3;8.25;;;;;;0.28;;75;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau piezo;05/08/2021;10:44;;43.7;28;;21.4;;;;;;;0.86;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Scirpaie GB8 piezo;05/08/2021;10:50;;29.3;18;;20.4;;;;;;;0.64;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Pioch couguioul;05/08/2021;11:13;;49;1.4;;21.4;8.02;;;;0.42;;;;10;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Pairollet;05/08/2021;11:30;;48.4;31.4;;22;8.45;;;;0.14;;;;50;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Pairollet Piezo;05/08/2021;11:30;;39.7;25.1;;22.4;;;;;;;0.71;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - PB3;05/08/2021;11:40;;;;;;;;;;;;;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - PB3 Piezo;05/08/2021;11:40;;130;;OFL;24;;;;;;;0.83;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord;05/08/2021;11:48;;98.1;;OFL;23.6;8.1;;;;0.16;;;;0;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord piezo;05/08/2021;11:48;;109.7;;OFL;23.8;;;;;;;1.04;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - PB4 piezo;05/08/2021;12:00;;123.5;;OFL;24.8;;;;;;;1.19;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3;05/08/2021;12:20;;3.32;1.6;;23.4;7.43;;;;0.26;;;;0;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3 piezo;05/08/2021;12:20;;3.17;1.5;;21.8;;;;;;;1.15;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Mare aux pelobates;05/08/2021;12:30;;69;47.2;;23;7.87;;;;0.01;;;;0;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo Piezo;05/08/2021;12:30;;36;22.6;;23.1;;;;;;;0.98;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS
Etangs du Grand Bagnas - PB4;05/08/2021;12:00;;;;;;;;;;;;;;;;;vent faible_pluie 16 mm la veille_Sonde O2 HS_a sec
Etangs du Grand Bagnas - Scirpaie GB8;05/08/2021;10:50;;31.9;19.7;;19.2;7.75;;;;0.11;;;;30;;;vent faible_pluie 16 mm la veille_Sonde O2 HS_echelle limnimétrique illisible (valeur de TB5 car corrélation)
Etangs du Grand Bagnas - canal du midi martelliere;21/07/2021;08:20;;1.77;0.7;;26;7.99;;;;;;-0.2;;20;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - EID;21/07/2021;09:13;;4.04;2.1;;22.5;7.21;;;;;;0.21;;20;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - EID Piezo;21/07/2021;09:13;;35.4;22.2;;22.4;;;;;;;0.7;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2;21/07/2021;09:30;;14.13;8.2;;24.6;8.81;;;;;;;;20;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - echelleGB2piezo;21/07/2021;09:30;;43.8;28.2;;24.7;;;;;;;0.49;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre;21/07/2021;09:39;;12.14;7;;25.3;8.98;;;;0.19;;;;5;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - TB5 centre piezo;21/07/2021;09:39;;55.9;37.2;;25.7;;;;;;;0.64;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Petit Pont;21/07/2021;09:58;;29;17.9;;26.4;7.73;;;;0.215;;;;20;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Canal de l'ouest;21/07/2021;09:58;;3.45;1.7;;26.9;7.54;;;;;;1.25;;200;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - LONGE;21/07/2021;10:08;;1.311;0.5;;25.7;7.45;;;;0.52;;;;20;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau;21/07/2021;10:28;;4.12;2.1;;27.2;8.07;;;;;;0.4;;100;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - MareB5roseau piezo;21/07/2021;10:28;;42.3;27.1;;24;;;;;;;0.845;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Scirpaie GB8 piezo;21/07/2021;10:38;;28.6;17.7;;26.2;;;;;;;0.56;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Pioch couguioul;21/07/2021;10:55;;2.81;1.3;;27.3;8.17;;;;;;;;10;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Pairollet;21/07/2021;11:14;;56.4;37.8;;30.1;8.12;;;;0.18;;;;20;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Pairollet Piezo;21/07/2021;11:14;;39.4;25.2;;28;;;;;;;0.67;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - PB3 Piezo;21/07/2021;11:27;;132.5;;OFL;29.3;;;;;;;1.07;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord;21/07/2021;11:35;;99.5;;OFL;23.7;8.1;;;;0.16;;;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Rieu nord piezo;21/07/2021;11:35;;108.3;;OFL;28.7;;;;;;;1.07;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - PB4 piezo;21/07/2021;11:49;;120.9;;OFL;29.1;;;;;;;1.28;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3;21/07/2021;12:10;;5.07;2.7;;28.8;8.08;;;;;;;;0;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo - 3 piezo;21/07/2021;12:10;;2.43;1.1;;26;;;;;;;1.2;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Mare aux pelobates;21/07/2021;12:16;;69.7;48.2;;30.5;7.85;;;;0.045;;;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - Mare pelo Piezo;21/07/2021;12:16;;35.9;22.7;;28.3;;;;;;;0.96;;;;;vent faible_Sonde O2 HS
Etangs du Grand Bagnas - PB3;21/07/2021;11:27;;;;;;;;;;;;;;;;;vent faible_Sonde O2 HS_a sec
Etangs du Grand Bagnas - PB4;21/07/2021;11:49;;;;;;;;;;;;;;;;;vent faible_Sonde O2 HS_a sec
